z23-CER,z22,z21,z20,
0,0,0,0,
0.003392529,0,0,0,
0.011970881,0.002381928,0,0,
0.109650336,0.047428529,0.005410663,0,
0.046064529,0.013148295,0.000119231,0,0
0.123032258,0.053203814,0.006951185,0,0
0.211712493,0.083146084,0.016613502,0.001013013,0
0.525377941,0.312160168,0.122195268,0.02902258,0.002322449
0,0,0,0,
0.000834321,0,0,0,
0.00368957,0.000715175,0,0,
0.035254581,0.016378957,0.001370302,0,
0.015557611,0.004045902,0,0,0
0.038871434,0.018370804,0.002025001,0,0
0.068045168,0.028211788,0.005410663,0.000238448,0
0.207659967,0.107311552,0.038871434,0.009670883,0.000536429
0,0,0,0,
0.000893888,0,0,0,
0.002798182,0.000774749,0,0,
0.029369856,0.013912862,0.00125122,0,
0.012971772,0.003214262,0,0,0
0.031855033,0.015851028,0.001786978,0,0
0.060905776,0.0233328,0.004164651,0.000417247,0
0.180708439,0.095579123,0.031450903,0.007543058,0.000774749
