z23-CER,z22,z21,z20
0,0,0,0
0.000753065,0,0,0
0.002132214,0.000209242,0,0
0.014912991,0.004968108,0.000209242,0
0.003676273,0.000753065,0,0
0.011567735,0.003384337,0,0
0.021405814,0.009414189,0.000753065,0
0.058057063,0.02850672,0.0075883,0.000753065
0.000920336,0,0,0
0.001463773,0.000167397,0,0
0.011071178,0.002758472,0.000167397,0
0.000588568,0.000126151,0,0
0.002561947,0.000420441,0,0
0.006037355,0.001806645,0.000126151,0
0.015687764,0.007582736,0.001386786,0
0.000251085,0,0,0
0.000460274,4.19E-05,0,0
0.006133489,0.001630925,4.19E-05,0
0.000714645,0.000210243,0,0
0.002520001,0.000588568,0,0
0.005201015,0.001386786,0.000210243,0
0.015066653,0.008250265,0.000966751,0.000168198
