z23-CER,z22,z21,z20
0,0,0,0
0.001457451,0,0,0
0.003155126,0.000243056,0,0
0.037796414,0.010638781,0.000243056,0
0.010037348,0.001457451,0,0
0.025556447,0.007266046,0,0
0.059762337,0.017230479,0.001336077,0
0.166156916,0.074614571,0.015317436,0.00097187
0.000121535,0,0,0
0.000486053,0.000121535,0,0
0.006541823,0.001457451,0.000121535,0
0.001336077,0.000121535,0,0
0.004607979,0.000850438,0,0
0.011960647,0.003276278,0.000121535,0
0.035454572,0.015915661,0.002306649,0.000121535
0.000121535,0,0,0
0.000486053,0.000121535,0,0
0.005091792,0.00121469,0.000121535,0
0.001336077,0.000243056,0,0
0.003518537,0.000486053,0,0
0.007989742,0.002185379,0.000243056,0
0.024964081,0.010638781,0.001700152,0.000121535
